"site","pft"
696,"semiarid.grassland_HPDA"
697,"semiarid.grassland_HPDA"
698,"semiarid.grassland_HPDA"
699,"semiarid.grassland_HPDA"
700,"semiarid.grassland_HPDA"
701,"temperate.deciduous.HPDA"
702,"temperate.deciduous.HPDA"
703,"semiarid.grassland_HPDA"
704,"semiarid.grassland_HPDA"
705,"semiarid.grassland_HPDA"
706,"semiarid.grassland_HPDA"
707,"semiarid.grassland_HPDA"
708,"semiarid.grassland_HPDA"
709,"semiarid.grassland_HPDA"
710,"semiarid.grassland_HPDA"
711,"semiarid.grassland_HPDA"
712,"semiarid.grassland_HPDA"
713,"semiarid.grassland_HPDA"
714,"semiarid.grassland_HPDA"
715,"semiarid.grassland_HPDA"
716,"temperate.deciduous.HPDA"
717,"temperate.deciduous.HPDA"
718,"temperate.deciduous.HPDA"
719,"semiarid.grassland_HPDA"
720,"semiarid.grassland_HPDA"
721,"temperate.deciduous.HPDA"
722,"semiarid.grassland_HPDA"
723,"semiarid.grassland_HPDA"
724,"semiarid.grassland_HPDA"
725,"semiarid.grassland_HPDA"
726,"semiarid.grassland_HPDA"
727,"temperate.deciduous.HPDA"
728,"semiarid.grassland_HPDA"
729,"semiarid.grassland_HPDA"
730,"temperate.deciduous.HPDA"
731,"semiarid.grassland_HPDA"
732,"semiarid.grassland_HPDA"
733,"semiarid.grassland_HPDA"
734,"semiarid.grassland_HPDA"
735,"semiarid.grassland_HPDA"
736,"semiarid.grassland_HPDA"
737,"semiarid.grassland_HPDA"
738,"semiarid.grassland_HPDA"
739,"semiarid.grassland_HPDA"
740,"semiarid.grassland_HPDA"
741,"semiarid.grassland_HPDA"
742,"semiarid.grassland_HPDA"
743,"semiarid.grassland_HPDA"
744,"semiarid.grassland_HPDA"
745,"semiarid.grassland_HPDA"
746,"temperate.deciduous.HPDA"
747,"semiarid.grassland_HPDA"
748,"semiarid.grassland_HPDA"
749,"semiarid.grassland_HPDA"
750,"semiarid.grassland_HPDA"
751,"semiarid.grassland_HPDA"
752,"semiarid.grassland_HPDA"
753,"semiarid.grassland_HPDA"
754,"temperate.deciduous.HPDA"
755,"semiarid.grassland_HPDA"
756,"temperate.deciduous.HPDA"
757,"temperate.deciduous.HPDA"
758,"semiarid.grassland_HPDA"
759,"semiarid.grassland_HPDA"
760,"semiarid.grassland_HPDA"
761,"semiarid.grassland_HPDA"
762,"semiarid.grassland_HPDA"
763,"semiarid.grassland_HPDA"
764,"temperate.deciduous.HPDA"
765,"temperate.deciduous.HPDA"
766,"temperate.deciduous.HPDA"
767,"semiarid.grassland_HPDA"
768,"semiarid.grassland_HPDA"
769,"semiarid.grassland_HPDA"
770,"semiarid.grassland_HPDA"
771,"semiarid.grassland_HPDA"
772,"semiarid.grassland_HPDA"
773,"temperate.deciduous.HPDA"
774,"semiarid.grassland_HPDA"
775,"semiarid.grassland_HPDA"
